experiment_id,session_id,point_id,point_role,node_id,timestamp,server_ts_ms,seq,rssi_raw_dbm,rssi_filtered_dbm,sample_count,error_flags,device_offset_db,pos_x,pos_y,pos_z,ap_bssid,ap_channel,valid,invalid_reason
classroom_20260723_215645,classroom_20260723_215645__offset-00__1784811413629,offset-00,offset,node-03,1784811419532,1784811419118,2204,-49.0,-48.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-00__1784811413629,offset-00,offset,node-01,1784811420083,1784811419686,1475,-49.0,-48.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-00__1784811413629,offset-00,offset,node-03,1784811420460,1784811420052,2205,-48.0,-48.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-00__1784811413629,offset-00,offset,gw-01,1784811420556,1784811420144,1580,-45.0,-46.0,,0,-2.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-00__1784811413629,offset-00,offset,node-01,1784811421085,1784811420675,1476,-48.0,-48.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-00__1784811413629,offset-00,offset,node-03,1784811421478,1784811421078,2206,-48.0,-48.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-00__1784811413629,offset-00,offset,gw-01,1784811421670,1784811421259,1581,-44.0,-45.0,,0,-2.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-00__1784811413629,offset-00,offset,node-01,1784811422100,1784811421688,1477,-48.0,-48.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-00__1784811413629,offset-00,offset,node-03,1784811422481,1784811422069,2207,-47.0,-48.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-00__1784811413629,offset-00,offset,gw-01,1784811422793,1784811422381,1582,-45.0,-45.0,,0,-2.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-00__1784811413629,offset-00,offset,node-01,1784811423103,1784811422703,1478,-47.0,-48.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-00__1784811413629,offset-00,offset,node-03,1784811423480,1784811423068,2208,-49.0,-48.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-00__1784811413629,offset-00,offset,gw-01,1784811423907,1784811423495,1583,-50.0,-46.0,,0,-2.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-00__1784811413629,offset-00,offset,node-01,1784811424106,1784811423695,1479,-49.0,-48.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-00__1784811413629,offset-00,offset,node-03,1784811424502,1784811424090,2209,-47.0,-48.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-00__1784811413629,offset-00,offset,gw-01,1784811425021,1784811424609,1584,-46.0,-46.0,,0,-2.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-00__1784811413629,offset-00,offset,node-01,1784811425123,1784811424712,1480,-47.0,-48.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-00__1784811413629,offset-00,offset,node-03,1784811425498,1784811425095,2210,-49.0,-48.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-00__1784811413629,offset-00,offset,node-01,1784811426177,1784811425766,1481,-47.0,-47.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-00__1784811413629,offset-00,offset,gw-01,1784811426193,1784811425779,1585,-50.0,-47.0,,0,-2.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-00__1784811413629,offset-00,offset,node-03,1784811426507,1784811426095,2211,-48.0,-48.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-00__1784811413629,offset-00,offset,node-01,1784811427129,1784811426718,1482,-50.0,-49.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-00__1784811413629,offset-00,offset,gw-01,1784811427254,1784811426841,1586,-45.0,-47.0,,0,-2.0,,,,,,1,
